country,capital,capital:de,capital:es,capital:fr,capital:nb,capital:cs,capital:ru,capital:nl,capital:sv,capital:pt,capital:zh,capital:pl,capital:it,capital:da
Ontario,Toronto,,,,,,,,,,,,,
Quebec,Quebec City,,,,,,,,,,,,,
Nova Scotia,Halifax,,,,,,,,,,,,,
New Brunswick,Fredericton,,,,,,,,,,,,,
Manitoba,Winnipeg,,,,,,,,,,,,,
British Columbia,Victoria,,,,,,,,,,,,,
Prince Edward Island,Charlottetown,,,,,,,,,,,,,
Saskatchewan,Regina,,,,,,,,,,,,,
Alberta,Edmonton,,,,,,,,,,,,,
Newfoundland and Labrador,St. John's,,,,,,,,,,,,,
Northwest Territories,Yellowknife,,,,,,,,,,,,,
Yukon,Whitehorse,,,,,,,,,,,,,
Nunavut,Iqaluit,,,,,,,,,,,,,
