country,guid,guid:de,guid:es,guid:fr,guid:nb,guid:cs,guid:ru,guid:nl,guid:sv,guid:pt,guid:zh,guid:pl,guid:it,guid:da
Ontario,N_h;x9PKs+,p>1*jo0X/?,k_?v+Hi9pO,cVA@Yug>t},O^m/W~D}Db,FVf0_CHA:C,oTwp.`2qxn,v*oZ@^b<nk,NPBJJn!W~,o|JdasO*N%,A2(=k*^y!R,tvt>f#q0{K,c3a)^iaZMQ,qfxLS-WDiV
Quebec,M^^FgZ4:v,L7q3}L^fMM,QP%)YV?r/3,N7454PDq/h,vLwceCLnE!,q*@4-hlxLK,bxOx]~/!Y>,eRvY01-1b5,GcYG3(ZuXr,hoKjRmp_y/,HKRNz3Dzpf,N)#y<^!k)O,gK6i-O~Ke_,Q072^t7=j:
Nova Scotia,GEXq3@~%Qi,K^u$c2__DG,"m/$,*X0(_f",NUi+PL$Re#,e1_;[fsweW,zkTPo9.s<h,dIC&4^%!)A,t-:h?eSAuh,"LK`DZDh2,|",f%}hClWYA9,L9[?:.23r),eN}VkufpM-,deQzu&lIyV,rA^2.Zsa]^
New Brunswick,nmLt_t[(?E,desvU+9AX7,fNU5mLukML,mLCK5k-%2V,"Lrilj,mU^y","mv,xb-|p=#",w$~yW/%7}m,v)dPlU=R>#,Ne7sL}6Y%K,jFqre.6p)R,jHrUIcY@}s,z{s#rCo)cM,o}MojB~L8(,"KHNV,P^4Lj"
Manitoba,"Bzh,7S2$*W",O*<yM;^xcE,"pB;90}C_,h",ze_tMK7Ooe,jcw0-}yoJ&,Mee0aEaZ^1,kUXi=JH@Ny,F=[::QUVM$,HbU|-dqe&i,ix38Rl`J1m,"JZ33]Y&?,b",y!E;K^}]iI,Obw)a_tY2-,Gd#$(xc!Se
British Columbia,lm[3sMu:>h,hSp#Vl3jX*,ySnw<Hv8bE,wt4BrcCYmm,zD5kiyY*l{,yw<g~SE&13,"M:Fp3HX,eW",p}-.m{2-`D,"p$L<HuSW,!",Nx2/2m]cqx,DB46@1DTDf,x/t;:Ko9aR,N=#J^#Ox-Y,"o(u==#N,Gm"
Prince Edward Island,L[V<z[yX|R,J)5AnaM6{&,"ng<irR,{6x",PTM=2N9?[C,Cw-pTylvFL,dMy=TwEOhm,q|reF!;tDJ,vm$;8tLdKR,N^j{^`u=T0,<vcyzcEzG,H<g!6f`;b^,iPE<JS#uNv,oF^J%/mlHz,n}29?:xfc~
Saskatchewan,D(m[R--Y-z,"y,A!:svkdk","N&/ul&jA,2",HGYqI/4eMw,L--x>srH$t,yyTrJFxs^J,w|XmxPa5qN,F8nqDq>0ku,IE@jE/B5$n,KQla2w*R`&,N8`RWuSF3`,CR=Y+(4*mp,"n}Zg]c,dE4",w}8!xZ+)HH
Alberta,u0EAy3]tHk,daVV~w;E-h,"f,|kR4.A&/",qPzt)`-(a{,j6LJ!+x4Lk,EviRa$P#*G,v>}|4[nXri,E)h;bkor:2,L[e!-$c-`=,"u3R<tVN,VZ",Bt}w_/;Bz4,h)W%wn`FGq,E29-m.{_W[,gVT(;wh#^@
Newfoundland and Labrador,u-obI~/*`t,K}D8?8d0*%,z6|k~Lo>z9,pw4O{Gg>YI,LXhy?!FhPL,vcBZDNF}xK,lEm2irgym.,G}Nrf$Yto-,I[$ZoQ=-/n,gNqvs4/XCK,sO=o+}).bi,"F4szLz@,nu",O}kBeN(+PZ,Ie>MC8-Ej5
Northwest Territories,fJNY>dHMgL,J@u8Lxa9XF,jckw`%/!3F,ma(k#/>yAG,g@p0|A5U_K,rIC_=8xBQO,"j^7,V|/U5M",tqsRr:@c|H,zblFHUh[=@,G|R3GfvRPd,P_f2BTu~rV,KP8ke5@VlS,Ly]Po4s@`3,Cu7jDZ{E/$
Yukon,to4rs#=]Wq,b1%_UO]T5f,G%99{Kb29G,Ifd&Nx`Db[,v/e5D:ruEj,HXB4u[:dAg,epVmSHVEHf,ug1&@gXa42,iCR?x<9cLC,bQ{;!9x$@o,ytC6Ijy2RC,QP]8oh3A-H,Lw3wEq@s(~,O?=d#(_FxY
Nunavut,B7@f$ZaUlI,da)gBM[plL,tOtW(ZIXL.,dBxPjk]o3/,"vmfFl]I-w,",s3@<B|wJ-a,"jL6y0ij,eJ",nAK5[>8M`i,Pjy1_u}DEa,wf{_x*Qh4M,sS]m2C<`s9,dw8Jo@qkMb,gE{bB?3e8a,MZLd;yo.nF
